QID,Ques,Score
1,Excel Practical Ques 1 text format Ques,0
2,Excel Practical Ques 2 text format Ques,0
3,Excel Practical Ques 3 text format Ques,0
4,Excel Practical Ques 4 text format Ques,0
5,Excel Practical Ques 5 text format Ques,0
6,Excel Practical Ques 6 text format Ques,0
7,Excel Practical Ques 7 text format Ques,0
8,Excel Practical Ques 8 text format Ques,0
9,Excel Practical Ques 9 text format Ques,0
10,Excel Practical Ques 10 text format Ques,0
11,Excel Practical Ques 11 text format Ques,0
12,Excel Practical Ques 12 text format Ques,0
13,Excel Practical Ques 13 text format Ques,0
14,Excel Practical Ques 14 text format Ques,0
15,Excel Practical Ques 15 text format Ques,0
16,Excel Practical Ques 16 text format Ques,0
17,Excel Practical Ques 17 text format Ques,0
18,Excel Practical Ques 18 text format Ques,0
19,Excel Practical Ques 19 text format Ques,0
20,Excel Practical Ques 20 text format Ques,0
21,Excel Practical Ques 21 text format Ques,0
22,Excel Practical Ques 22 text format Ques,0
23,Excel Practical Ques 23 text format Ques,0
24,Excel Practical Ques 24 text format Ques,0
25,Excel Practical Ques 25 text format Ques,0
26,Excel Practical Ques 26 text format Ques,0
27,Excel Practical Ques 27 text format Ques,0
28,Excel Practical Ques 28 text format Ques,0
29,Excel Practical Ques 29 text format Ques,0
30,Excel Practical Ques 30 text format Ques,0
31,Excel Practical Ques 31 text format Ques,0
32,Excel Practical Ques 32 text format Ques,0
33,Excel Practical Ques 33 text format Ques,0
34,Excel Practical Ques 34 text format Ques,0
35,Excel Practical Ques 35 text format Ques,0
36,Excel Practical Ques 36 text format Ques,0
37,Excel Practical Ques 37 text format Ques,0
38,Excel Practical Ques 38 text format Ques,0
39,Excel Practical Ques 39 text format Ques,0
40,Excel Practical Ques 40 text format Ques,0
41,Excel Practical Ques 41 text format Ques,0
42,Excel Practical Ques 42 text format Ques,0
43,Excel Practical Ques 43 text format Ques,0
44,Excel Practical Ques 44 text format Ques,0
45,Excel Practical Ques 45 text format Ques,0
46,Excel Practical Ques 46 text format Ques,0
47,Excel Practical Ques 47 text format Ques,0
48,Excel Practical Ques 48 text format Ques,0
49,Excel Practical Ques 49 text format Ques,0
50,Excel Practical Ques 50 text format Ques,0
51,Excel Practical Ques 51 text format Ques,0
52,Excel Practical Ques 52 text format Ques,0
53,Excel Practical Ques 53 text format Ques,0
54,Excel Practical Ques 54 text format Ques,0
55,Excel Practical Ques 55 text format Ques,0
56,Excel Practical Ques 56 text format Ques,0
57,Excel Practical Ques 57 text format Ques,0
58,Excel Practical Ques 58 text format Ques,0
59,Excel Practical Ques 59 text format Ques,0
60,Excel Practical Ques 60 text format Ques,0
61,Excel Practical Ques 61 text format Ques,0
62,Excel Practical Ques 62 text format Ques,0
63,Excel Practical Ques 63 text format Ques,0
64,Excel Practical Ques 64 text format Ques,0
65,Excel Practical Ques 65 text format Ques,0
66,Excel Practical Ques 66 text format Ques,0
67,Excel Practical Ques 67 text format Ques,0
68,Excel Practical Ques 68 text format Ques,0
69,Excel Practical Ques 69 text format Ques,0
70,Excel Practical Ques 70 text format Ques,0
71,Excel Practical Ques 71 text format Ques,0
72,Excel Practical Ques 72 text format Ques,0
73,Excel Practical Ques 73 text format Ques,0
74,Excel Practical Ques 74 text format Ques,0
75,Excel Practical Ques 75 text format Ques,0
76,Excel Practical Ques 76 text format Ques,0
77,Excel Practical Ques 77 text format Ques,0
78,Excel Practical Ques 78 text format Ques,0
79,Excel Practical Ques 79 text format Ques,0
80,Excel Practical Ques 80 text format Ques,0
81,Excel Practical Ques 81 text format Ques,0
