QID,Ques,Score
1,Internet Practical Ques 1 text format Ques,0
2,Internet Practical Ques 2 text format Ques,0
3,Internet Practical Ques 3 text format Ques,0
4,Internet Practical Ques 4 text format Ques,0
5,Internet Practical Ques 5 text format Ques,0
6,Internet Practical Ques 6 text format Ques,0
7,Internet Practical Ques 7 text format Ques,0
8,Internet Practical Ques 8 text format Ques,0
9,Internet Practical Ques 9 text format Ques,0
10,Internet Practical Ques 10 text format Ques,0
11,Internet Practical Ques 11 text format Ques,0
12,Internet Practical Ques 12 text format Ques,0
13,Internet Practical Ques 13 text format Ques,0
14,Internet Practical Ques 14 text format Ques,0
15,Internet Practical Ques 15 text format Ques,0
16,Internet Practical Ques 16 text format Ques,0
17,Internet Practical Ques 17 text format Ques,0
18,Internet Practical Ques 18 text format Ques,0
19,Internet Practical Ques 19 text format Ques,0
20,Internet Practical Ques 20 text format Ques,0
21,Internet Practical Ques 21 text format Ques,0
22,Internet Practical Ques 22 text format Ques,0
23,Internet Practical Ques 23 text format Ques,0
24,Internet Practical Ques 24 text format Ques,0
25,Internet Practical Ques 25 text format Ques,0
26,Internet Practical Ques 26 text format Ques,0
27,Internet Practical Ques 27 text format Ques,0
28,Internet Practical Ques 28 text format Ques,0
29,Internet Practical Ques 29 text format Ques,0
30,Internet Practical Ques 30 text format Ques,0
31,Internet Practical Ques 31 text format Ques,0
32,Internet Practical Ques 32 text format Ques,0
33,Internet Practical Ques 33 text format Ques,0
34,Internet Practical Ques 34 text format Ques,0
35,Internet Practical Ques 35 text format Ques,0
36,Internet Practical Ques 36 text format Ques,0
37,Internet Practical Ques 37 text format Ques,0
38,Internet Practical Ques 38 text format Ques,0
39,Internet Practical Ques 39 text format Ques,0
40,Internet Practical Ques 40 text format Ques,0
41,Internet Practical Ques 41 text format Ques,0
42,Internet Practical Ques 42 text format Ques,0
43,Internet Practical Ques 43 text format Ques,0
44,Internet Practical Ques 44 text format Ques,0
45,Internet Practical Ques 45 text format Ques,0
46,Internet Practical Ques 46 text format Ques,0
47,Internet Practical Ques 47 text format Ques,0
48,Internet Practical Ques 48 text format Ques,0
49,Internet Practical Ques 49 text format Ques,0
50,Internet Practical Ques 50 text format Ques,0
51,Internet Practical Ques 51 text format Ques,0
52,Internet Practical Ques 52 text format Ques,0
53,Internet Practical Ques 53 text format Ques,0
54,Internet Practical Ques 54 text format Ques,0
55,Internet Practical Ques 55 text format Ques,0
56,Internet Practical Ques 56 text format Ques,0
57,Internet Practical Ques 57 text format Ques,0
58,Internet Practical Ques 58 text format Ques,0
59,Internet Practical Ques 59 text format Ques,0
60,Internet Practical Ques 60 text format Ques,0
61,Internet Practical Ques 61 text format Ques,0
62,Internet Practical Ques 62 text format Ques,0
63,Internet Practical Ques 63 text format Ques,0
64,Internet Practical Ques 64 text format Ques,0
65,Internet Practical Ques 65 text format Ques,0
66,Internet Practical Ques 66 text format Ques,0
67,Internet Practical Ques 67 text format Ques,0
68,Internet Practical Ques 68 text format Ques,0
69,Internet Practical Ques 69 text format Ques,0
70,Internet Practical Ques 70 text format Ques,0
71,Internet Practical Ques 71 text format Ques,0
72,Internet Practical Ques 72 text format Ques,0
73,Internet Practical Ques 73 text format Ques,0
74,Internet Practical Ques 74 text format Ques,0
75,Internet Practical Ques 75 text format Ques,0
76,Internet Practical Ques 76 text format Ques,0
77,Internet Practical Ques 77 text format Ques,0
78,Internet Practical Ques 78 text format Ques,0
79,Internet Practical Ques 79 text format Ques,0
80,Internet Practical Ques 80 text format Ques,0
81,Internet Practical Ques 81 text format Ques,0
82,Internet Practical Ques 82 text format Ques,0
83,Internet Practical Ques 83 text format Ques,0
84,Internet Practical Ques 84 text format Ques,0
85,Internet Practical Ques 85 text format Ques,0
86,Internet Practical Ques 86 text format Ques,0
87,Internet Practical Ques 87 text format Ques,0
88,Internet Practical Ques 88 text format Ques,0
89,Internet Practical Ques 89 text format Ques,0
90,Internet Practical Ques 90 text format Ques,0
91,Internet Practical Ques 91 text format Ques,0
92,Internet Practical Ques 92 text format Ques,0
93,Internet Practical Ques 93 text format Ques,0
94,Internet Practical Ques 94 text format Ques,0
95,Internet Practical Ques 95 text format Ques,0
96,Internet Practical Ques 96 text format Ques,0
97,Internet Practical Ques 97 text format Ques,0
98,Internet Practical Ques 98 text format Ques,0
99,Internet Practical Ques 99 text format Ques,0
100,Internet Practical Ques 100 text format Ques,0
101,Internet Practical Ques 101 text format Ques,0
102,Internet Practical Ques 102 text format Ques,0
103,Internet Practical Ques 103 text format Ques,0
104,Internet Practical Ques 104 text format Ques,0
105,Internet Practical Ques 105 text format Ques,0
106,Internet Practical Ques 106 text format Ques,0
107,Internet Practical Ques 107 text format Ques,0
108,Internet Practical Ques 108 text format Ques,0
109,Internet Practical Ques 109 text format Ques,0
110,Internet Practical Ques 110 text format Ques,0
111,Internet Practical Ques 111 text format Ques,0
112,Internet Practical Ques 112 text format Ques,0
113,Internet Practical Ques 113 text format Ques,0
114,Internet Practical Ques 114 text format Ques,0
115,Internet Practical Ques 115 text format Ques,0
116,Internet Practical Ques 116 text format Ques,0
117,Internet Practical Ques 117 text format Ques,0
118,Internet Practical Ques 118 text format Ques,0
119,Internet Practical Ques 119 text format Ques,0
120,Internet Practical Ques 120 text format Ques,0
121,Internet Practical Ques 121 text format Ques,0
122,Internet Practical Ques 122 text format Ques,0
123,Internet Practical Ques 123 text format Ques,0
124,Internet Practical Ques 124 text format Ques,0
