QID,Ques,Score
1,Outlook Practical Ques 1 text format Ques,0
2,Outlook Practical Ques 2 text format Ques,0
3,Outlook Practical Ques 3 text format Ques,0
4,Outlook Practical Ques 4 text format Ques,0
5,Outlook Practical Ques 5 text format Ques,0
6,Outlook Practical Ques 6 text format Ques,0
7,Outlook Practical Ques 7 text format Ques,0
8,Outlook Practical Ques 8 text format Ques,0
9,Outlook Practical Ques 9 text format Ques,0
10,Outlook Practical Ques 10 text format Ques,0
11,Outlook Practical Ques 11 text format Ques,0
12,Outlook Practical Ques 12 text format Ques,0
13,Outlook Practical Ques 13 text format Ques,0
14,Outlook Practical Ques 14 text format Ques,0
15,Outlook Practical Ques 15 text format Ques,0
16,Outlook Practical Ques 16 text format Ques,0
17,Outlook Practical Ques 17 text format Ques,0
18,Outlook Practical Ques 18 text format Ques,0
19,Outlook Practical Ques 19 text format Ques,0
20,Outlook Practical Ques 20 text format Ques,0
21,Outlook Practical Ques 21 text format Ques,0
22,Outlook Practical Ques 22 text format Ques,0
23,Outlook Practical Ques 23 text format Ques,0
24,Outlook Practical Ques 24 text format Ques,0
25,Outlook Practical Ques 25 text format Ques,0
26,Outlook Practical Ques 26 text format Ques,0
27,Outlook Practical Ques 27 text format Ques,0
28,Outlook Practical Ques 28 text format Ques,0
29,Outlook Practical Ques 29 text format Ques,0
30,Outlook Practical Ques 30 text format Ques,0
31,Outlook Practical Ques 31 text format Ques,0
32,Outlook Practical Ques 32 text format Ques,0
33,Outlook Practical Ques 33 text format Ques,0
34,Outlook Practical Ques 34 text format Ques,0
35,Outlook Practical Ques 35 text format Ques,0
36,Outlook Practical Ques 36 text format Ques,0
37,Outlook Practical Ques 37 text format Ques,0
38,Outlook Practical Ques 38 text format Ques,0
39,Outlook Practical Ques 39 text format Ques,0
40,Outlook Practical Ques 40 text format Ques,0
41,Outlook Practical Ques 41 text format Ques,0
42,Outlook Practical Ques 42 text format Ques,0
43,Outlook Practical Ques 43 text format Ques,0
44,Outlook Practical Ques 44 text format Ques,0
45,Outlook Practical Ques 45 text format Ques,0
46,Outlook Practical Ques 46 text format Ques,0
47,Outlook Practical Ques 47 text format Ques,0
48,Outlook Practical Ques 48 text format Ques,0
49,Outlook Practical Ques 49 text format Ques,0
50,Outlook Practical Ques 50 text format Ques,0
51,Outlook Practical Ques 51 text format Ques,0
52,Outlook Practical Ques 52 text format Ques,0
53,Outlook Practical Ques 53 text format Ques,0
54,Outlook Practical Ques 54 text format Ques,0
55,Outlook Practical Ques 55 text format Ques,0
56,Outlook Practical Ques 56 text format Ques,0
57,Outlook Practical Ques 57 text format Ques,0
58,Outlook Practical Ques 58 text format Ques,0
