QID,Ques,Score
1,Powerpoint Practical Ques 1 text format Ques,0
2,Powerpoint Practical Ques 2 text format Ques,0
3,Powerpoint Practical Ques 3 text format Ques,0
4,Powerpoint Practical Ques 4 text format Ques,0
5,Powerpoint Practical Ques 5 text format Ques,0
6,Powerpoint Practical Ques 6 text format Ques,0
7,Powerpoint Practical Ques 7 text format Ques,0
8,Powerpoint Practical Ques 8 text format Ques,0
9,Powerpoint Practical Ques 9 text format Ques,0
10,Powerpoint Practical Ques 10 text format Ques,0
11,Powerpoint Practical Ques 11 text format Ques,0
12,Powerpoint Practical Ques 12 text format Ques,0
13,Powerpoint Practical Ques 13 text format Ques,0
14,Powerpoint Practical Ques 14 text format Ques,0
15,Powerpoint Practical Ques 15 text format Ques,0
16,Powerpoint Practical Ques 16 text format Ques,0
17,Powerpoint Practical Ques 17 text format Ques,0
18,Powerpoint Practical Ques 18 text format Ques,0
19,Powerpoint Practical Ques 19 text format Ques,0
20,Powerpoint Practical Ques 20 text format Ques,0
21,Powerpoint Practical Ques 21 text format Ques,0
22,Powerpoint Practical Ques 22 text format Ques,0
23,Powerpoint Practical Ques 23 text format Ques,0
24,Powerpoint Practical Ques 24 text format Ques,0
25,Powerpoint Practical Ques 25 text format Ques,0
26,Powerpoint Practical Ques 26 text format Ques,0
27,Powerpoint Practical Ques 27 text format Ques,0
28,Powerpoint Practical Ques 28 text format Ques,0
29,Powerpoint Practical Ques 29 text format Ques,0
30,Powerpoint Practical Ques 30 text format Ques,0
31,Powerpoint Practical Ques 31 text format Ques,0
32,Powerpoint Practical Ques 32 text format Ques,0
33,Powerpoint Practical Ques 33 text format Ques,0
34,Powerpoint Practical Ques 34 text format Ques,0
35,Powerpoint Practical Ques 35 text format Ques,0
36,Powerpoint Practical Ques 36 text format Ques,0
37,Powerpoint Practical Ques 37 text format Ques,0
38,Powerpoint Practical Ques 38 text format Ques,0
39,Powerpoint Practical Ques 39 text format Ques,0
40,Powerpoint Practical Ques 40 text format Ques,0
41,Powerpoint Practical Ques 41 text format Ques,0
42,Powerpoint Practical Ques 42 text format Ques,0
43,Powerpoint Practical Ques 43 text format Ques,0
44,Powerpoint Practical Ques 44 text format Ques,0
45,Powerpoint Practical Ques 45 text format Ques,0
46,Powerpoint Practical Ques 46 text format Ques,0
47,Powerpoint Practical Ques 47 text format Ques,0
48,Powerpoint Practical Ques 48 text format Ques,0
49,Powerpoint Practical Ques 49 text format Ques,0
50,Powerpoint Practical Ques 50 text format Ques,0
51,Powerpoint Practical Ques 51 text format Ques,0
52,Powerpoint Practical Ques 52 text format Ques,0
53,Powerpoint Practical Ques 53 text format Ques,0
54,Powerpoint Practical Ques 54 text format Ques,0
55,Powerpoint Practical Ques 55 text format Ques,0
56,Powerpoint Practical Ques 56 text format Ques,0
57,Powerpoint Practical Ques 57 text format Ques,0
58,Powerpoint Practical Ques 58 text format Ques,0
59,Powerpoint Practical Ques 59 text format Ques,0
60,Powerpoint Practical Ques 60 text format Ques,0
61,Powerpoint Practical Ques 61 text format Ques,0
62,Powerpoint Practical Ques 62 text format Ques,0
63,Powerpoint Practical Ques 63 text format Ques,0
64,Powerpoint Practical Ques 64 text format Ques,0
65,Powerpoint Practical Ques 65 text format Ques,0
66,Powerpoint Practical Ques 66 text format Ques,0
67,Powerpoint Practical Ques 67 text format Ques,0
68,Powerpoint Practical Ques 68 text format Ques,0
69,Powerpoint Practical Ques 69 text format Ques,0
70,Powerpoint Practical Ques 70 text format Ques,0
71,Powerpoint Practical Ques 71 text format Ques,0
72,Powerpoint Practical Ques 72 text format Ques,0
73,Powerpoint Practical Ques 73 text format Ques,0
74,Powerpoint Practical Ques 74 text format Ques,0
75,Powerpoint Practical Ques 75 text format Ques,0
76,Powerpoint Practical Ques 76 text format Ques,0
77,Powerpoint Practical Ques 77 text format Ques,0
78,Powerpoint Practical Ques 78 text format Ques,0
79,Powerpoint Practical Ques 79 text format Ques,0
80,Powerpoint Practical Ques 80 text format Ques,0
81,Powerpoint Practical Ques 81 text format Ques,0
82,Powerpoint Practical Ques 82 text format Ques,0
83,Powerpoint Practical Ques 83 text format Ques,0
84,Powerpoint Practical Ques 84 text format Ques,0
85,Powerpoint Practical Ques 85 text format Ques,0
86,Powerpoint Practical Ques 86 text format Ques,0
87,Powerpoint Practical Ques 87 text format Ques,0
88,Powerpoint Practical Ques 88 text format Ques,0
89,Powerpoint Practical Ques 89 text format Ques,0
90,Powerpoint Practical Ques 90 text format Ques,0
91,Powerpoint Practical Ques 91 text format Ques,0
92,Powerpoint Practical Ques 92 text format Ques,0
93,Powerpoint Practical Ques 93 text format Ques,0
94,Powerpoint Practical Ques 94 text format Ques,0
95,Powerpoint Practical Ques 95 text format Ques,0
96,Powerpoint Practical Ques 96 text format Ques,0
97,Powerpoint Practical Ques 97 text format Ques,0
98,Powerpoint Practical Ques 98 text format Ques,0
99,Powerpoint Practical Ques 99 text format Ques,0
100,Powerpoint Practical Ques 100 text format Ques,0
101,Powerpoint Practical Ques 101 text format Ques,0
102,Powerpoint Practical Ques 102 text format Ques,0
103,Powerpoint Practical Ques 103 text format Ques,0
104,Powerpoint Practical Ques 104 text format Ques,0
105,Powerpoint Practical Ques 105 text format Ques,0
106,Powerpoint Practical Ques 106 text format Ques,0
107,Powerpoint Practical Ques 107 text format Ques,0
108,Powerpoint Practical Ques 108 text format Ques,0
109,Powerpoint Practical Ques 109 text format Ques,0
110,Powerpoint Practical Ques 110 text format Ques,0
111,Powerpoint Practical Ques 111 text format Ques,0
112,Powerpoint Practical Ques 112 text format Ques,0
113,Powerpoint Practical Ques 113 text format Ques,0
114,Powerpoint Practical Ques 114 text format Ques,0
115,Powerpoint Practical Ques 115 text format Ques,0
116,Powerpoint Practical Ques 116 text format Ques,0
117,Powerpoint Practical Ques 117 text format Ques,0
118,Powerpoint Practical Ques 118 text format Ques,0
119,Powerpoint Practical Ques 119 text format Ques,0
120,Powerpoint Practical Ques 120 text format Ques,0
121,Powerpoint Practical Ques 121 text format Ques,0
122,Powerpoint Practical Ques 122 text format Ques,0
123,Powerpoint Practical Ques 123 text format Ques,0
124,Powerpoint Practical Ques 124 text format Ques,0
125,Powerpoint Practical Ques 125 text format Ques,0
126,Powerpoint Practical Ques 126 text format Ques,0
127,Powerpoint Practical Ques 127 text format Ques,0
128,Powerpoint Practical Ques 128 text format Ques,0
129,Powerpoint Practical Ques 129 text format Ques,0
130,Powerpoint Practical Ques 130 text format Ques,0
131,Powerpoint Practical Ques 131 text format Ques,0
132,Powerpoint Practical Ques 132 text format Ques,0
133,Powerpoint Practical Ques 133 text format Ques,0
134,Powerpoint Practical Ques 134 text format Ques,0
135,Powerpoint Practical Ques 135 text format Ques,0
136,Powerpoint Practical Ques 136 text format Ques,0
137,Powerpoint Practical Ques 137 text format Ques,0
138,Powerpoint Practical Ques 138 text format Ques,0
139,Powerpoint Practical Ques 139 text format Ques,0
140,Powerpoint Practical Ques 140 text format Ques,0
141,Powerpoint Practical Ques 141 text format Ques,0
142,Powerpoint Practical Ques 142 text format Ques,0
143,Powerpoint Practical Ques 143 text format Ques,0
144,Powerpoint Practical Ques 144 text format Ques,0
145,Powerpoint Practical Ques 145 text format Ques,0
146,Powerpoint Practical Ques 146 text format Ques,0
147,Powerpoint Practical Ques 147 text format Ques,0
148,Powerpoint Practical Ques 148 text format Ques,0
149,Powerpoint Practical Ques 149 text format Ques,0
150,Powerpoint Practical Ques 150 text format Ques,0
