QID,Ques,Score
1,Windows Practical Ques 1 text format Ques,0
2,Windows Practical Ques 2 text format Ques,0
3,Windows Practical Ques 3 text format Ques,0
4,Windows Practical Ques 4 text format Ques,0
5,Windows Practical Ques 5 text format Ques,0
6,Windows Practical Ques 6 text format Ques,0
7,Windows Practical Ques 7 text format Ques,0
8,Windows Practical Ques 8 text format Ques,0
9,Windows Practical Ques 9 text format Ques,0
10,Windows Practical Ques 10 text format Ques,0
11,Windows Practical Ques 11 text format Ques,0
12,Windows Practical Ques 12 text format Ques,0
13,Windows Practical Ques 13 text format Ques,0
14,Windows Practical Ques 14 text format Ques,0
15,Windows Practical Ques 15 text format Ques,0
16,Windows Practical Ques 16 text format Ques,0
17,Windows Practical Ques 17 text format Ques,0
18,Windows Practical Ques 18 text format Ques,0
19,Windows Practical Ques 19 text format Ques,0
20,Windows Practical Ques 20 text format Ques,0
21,Windows Practical Ques 21 text format Ques,0
22,Windows Practical Ques 22 text format Ques,0
23,Windows Practical Ques 23 text format Ques,0
24,Windows Practical Ques 24 text format Ques,0
25,Windows Practical Ques 25 text format Ques,0
26,Windows Practical Ques 26 text format Ques,0
27,Windows Practical Ques 27 text format Ques,0
28,Windows Practical Ques 28 text format Ques,0
29,Windows Practical Ques 29 text format Ques,0
30,Windows Practical Ques 30 text format Ques,0
31,Windows Practical Ques 31 text format Ques,0
32,Windows Practical Ques 32 text format Ques,0
33,Windows Practical Ques 33 text format Ques,0
34,Windows Practical Ques 34 text format Ques,0
35,Windows Practical Ques 35 text format Ques,0
36,Windows Practical Ques 36 text format Ques,0
37,Windows Practical Ques 37 text format Ques,0
38,Windows Practical Ques 38 text format Ques,0
39,Windows Practical Ques 39 text format Ques,0
40,Windows Practical Ques 40 text format Ques,0
41,Windows Practical Ques 41 text format Ques,0
42,Windows Practical Ques 42 text format Ques,0
43,Windows Practical Ques 43 text format Ques,0
44,Windows Practical Ques 44 text format Ques,0
45,Windows Practical Ques 45 text format Ques,0
46,Windows Practical Ques 46 text format Ques,0
47,Windows Practical Ques 47 text format Ques,0
48,Windows Practical Ques 48 text format Ques,0
49,Windows Practical Ques 49 text format Ques,0
50,Windows Practical Ques 50 text format Ques,0
51,Windows Practical Ques 51 text format Ques,0
52,Windows Practical Ques 52 text format Ques,0
53,Windows Practical Ques 53 text format Ques,0
54,Windows Practical Ques 54 text format Ques,0
55,Windows Practical Ques 55 text format Ques,0
56,Windows Practical Ques 56 text format Ques,0
57,Windows Practical Ques 57 text format Ques,0
58,Windows Practical Ques 58 text format Ques,0
59,Windows Practical Ques 59 text format Ques,0
60,Windows Practical Ques 60 text format Ques,0
61,Windows Practical Ques 61 text format Ques,0
62,Windows Practical Ques 62 text format Ques,0
63,Windows Practical Ques 63 text format Ques,0
64,Windows Practical Ques 64 text format Ques,0
65,Windows Practical Ques 65 text format Ques,0
66,Windows Practical Ques 66 text format Ques,0
67,Windows Practical Ques 67 text format Ques,0
68,Windows Practical Ques 68 text format Ques,0
69,Windows Practical Ques 69 text format Ques,0
70,Windows Practical Ques 70 text format Ques,0
71,Windows Practical Ques 71 text format Ques,0
72,Windows Practical Ques 72 text format Ques,0
73,Windows Practical Ques 73 text format Ques,0
74,Windows Practical Ques 74 text format Ques,0
75,Windows Practical Ques 75 text format Ques,0
76,Windows Practical Ques 76 text format Ques,0
77,Windows Practical Ques 77 text format Ques,0
78,Windows Practical Ques 78 text format Ques,0
79,Windows Practical Ques 79 text format Ques,0
80,Windows Practical Ques 80 text format Ques,0
81,Windows Practical Ques 81 text format Ques,0
82,Windows Practical Ques 82 text format Ques,0
