QID,Ques,Score
1,Word Practical Ques 1 text format Ques,0
2,Word Practical Ques 2 text format Ques,0
3,Word Practical Ques 3 text format Ques,0
4,Word Practical Ques 4 text format Ques,0
5,Word Practical Ques 5 text format Ques,0
6,Word Practical Ques 6 text format Ques,0
7,Word Practical Ques 7 text format Ques,0
8,Word Practical Ques 8 text format Ques,0
9,Word Practical Ques 9 text format Ques,0
10,Word Practical Ques 10 text format Ques,0
11,Word Practical Ques 11 text format Ques,0
12,Word Practical Ques 12 text format Ques,0
13,Word Practical Ques 13 text format Ques,0
14,Word Practical Ques 14 text format Ques,0
15,Word Practical Ques 15 text format Ques,0
16,Word Practical Ques 16 text format Ques,0
17,Word Practical Ques 17 text format Ques,0
18,Word Practical Ques 18 text format Ques,0
19,Word Practical Ques 19 text format Ques,0
20,Word Practical Ques 20 text format Ques,0
21,Word Practical Ques 21 text format Ques,0
22,Word Practical Ques 22 text format Ques,0
23,Word Practical Ques 23 text format Ques,0
24,Word Practical Ques 24 text format Ques,0
25,Word Practical Ques 25 text format Ques,0
26,Word Practical Ques 26 text format Ques,0
27,Word Practical Ques 27 text format Ques,0
28,Word Practical Ques 28 text format Ques,0
29,Word Practical Ques 29 text format Ques,0
30,Word Practical Ques 30 text format Ques,0
31,Word Practical Ques 31 text format Ques,0
32,Word Practical Ques 32 text format Ques,0
33,Word Practical Ques 33 text format Ques,0
34,Word Practical Ques 34 text format Ques,0
35,Word Practical Ques 35 text format Ques,0
36,Word Practical Ques 36 text format Ques,0
37,Word Practical Ques 37 text format Ques,0
38,Word Practical Ques 38 text format Ques,0
39,Word Practical Ques 39 text format Ques,0
40,Word Practical Ques 40 text format Ques,0
41,Word Practical Ques 41 text format Ques,0
42,Word Practical Ques 42 text format Ques,0
43,Word Practical Ques 43 text format Ques,0
44,Word Practical Ques 44 text format Ques,0
45,Word Practical Ques 45 text format Ques,0
46,Word Practical Ques 46 text format Ques,0
47,Word Practical Ques 47 text format Ques,0
48,Word Practical Ques 48 text format Ques,0
